Month,Total population,Landed immigrants,"Immigrants, landed 5 or less years earlier","Immigrants, landed more than 5 to 10 years earlier","Immigrants, landed more than 10 years earlier",Born in Canada
22-Aug,62.8,62.5,73.1,72.6,58.3,62.9
22-Sep,62.4,62.4,72.3,72.7,58.4,62.4
22-Oct,62.2,62.4,70.8,73.3,58.5,62.2
22-Nov,62.1,62.6,70.4,73.9,58.7,61.9
22-Dec,62.1,62.7,70.2,74.3,58.8,61.8
23-Jan,61.8,62.5,70,73.9,58.8,61.4
23-Feb,61.6,62.5,69.6,73.1,59.1,61.2
23-Mar,61.5,62.5,69,72.8,59.4,61
23-Apr,61.6,62.8,69.1,72.5,59.8,61.1
23-May,62.1,63,69.6,72.8,59.8,61.6
23-Jun,62.6,63.3,70.4,73.1,60,62.2
23-Jul,62.9,63.4,71,73.2,60,62.6
23-Aug,62.8,63.2,72,73.3,59.5,62.5
23-Sep,62.4,62.8,72.3,72.9,58.9,62
23-Oct,62.1,62.5,72.4,72.7,58.4,61.8
23-Nov,61.9,62.5,71.1,72.6,58.6,61.5
